slug,name,cjk,brand,country,market,strength,flavour,format,filterType,lengthMm,tarMg,nicotineMg,packSize,priceUsd,year,summary,verdict,pros,cons
chunghwa-hard-pack,Chunghwa Hard Pack,中华,Chunghwa,China,Shanghai,Full,Regular,King size,Filtered,84,11,1,20,9.5,1951,"The Chinese state banquet cigarette, and still the reference point for the sweetened Yunnan style.","Chunghwa is the cigarette every other Chinese brand is measured against, and after two weeks it is clear why. The blend leads with a sweet, almost honeyed top note from the Yunnan leaf, then settles into a broad, slightly nutty body that never turns sharp — a construction quality that holds from the first stick in the pack to the last.

What it is not is cheap, and the price premium buys refinement rather than strength. If you want a cigarette that behaves the same way every time you light one, this is the benchmark.",Exceptionally consistent draw across the pack | Sweet Yunnan top note without cloying | Paper and gum burn evenly to the filter,Priced well above comparable blends | Widely counterfeited outside China | Sweetness reads as artificial to some palates
double-happiness-classic,Double Happiness Classic,双喜,Double Happiness,China,Guangdong,Medium,Regular,King size,Filtered,84,10,0.9,20,3.2,1906,"The everyday southern Chinese blend: sweet, forgiving, and priced to be bought by the carton.","Double Happiness sits a clear step below Chunghwa in refinement and roughly a third of the price, which is the trade the brand has been making for a century. The smoke is soft and sweet with a short finish, and the medium tar rating is honest — this smokes lighter than the number suggests.

Construction is the weak point. We found two loosely packed sticks across four packs, both of which burned fast down one side.","Outstanding value for a full-flavour blend | Soft, sweet profile that is easy to return to | Widely available across southern China",Occasional loose packing causes uneven burn | Short finish with little development
furongwang-blue,Furongwang Blue,芙蓉王,Furongwang,China,Hunan,Medium,Regular,King size,Filtered,84,10,1,20,4.4,1994,"Hunan's business-class cigarette — clean, bright and noticeably less sweetened than its rivals.","Furongwang is the blend to reach for if the Chunghwa house style reads as too sugary. The leaf is brighter and the finish drier, with a faint grassy note that survives the whole stick.

It is not a subtle cigarette, but it is a clean one, and the paper quality is a visible cut above the price bracket.","Drier, brighter profile than most Chinese blends | High-grade paper burns without tunnelling | Strong mid-market availability",Less complexity than the price implies | Grassy note divides opinion
yuxi-soft,Yuxi Soft Pack,玉溪,Yuxi,China,Yunnan,Light,Regular,King size,Filtered,84,8,0.8,20,5.8,1956,"Grown and blended at the source in Yunnan, and the most floral cigarette in the Chinese mainstream.","Yuxi does something none of its competitors manage: it makes a light cigarette that still tastes of tobacco. The floral, faintly apricot top note is unusual and genuinely pleasant, and it carries through a very open draw without thinning out.

The soft pack crushes easily, which is the only real complaint we could raise across two weeks.","Floral top note that is unique in the category | Light rating without a hollow finish | Very open, effortless draw",Soft pack offers almost no protection | Fragile ash drops early
mevius-original,Mevius Original,メビウス,Mevius,Japan,Japan,Medium,Regular,King size,Charcoal,84,10,0.8,20,4.1,1977,"The best-engineered cigarette in this catalogue, and the clearest argument for a charcoal filter.","Mevius — Mild Seven until 2013 — is the most quietly precise cigarette we have smoked. The charcoal filter strips the harsh edge off the smoke without gutting it, leaving a clean, slightly toasted body that stays identical from the first draw to the last.

Across twenty-one days and six packs we could not find a single badly made stick. That is the review. Everything else is preference.",Flawless construction across every pack tested | Charcoal filter softens without hollowing the smoke | Ash holds a full third of the stick,Deliberately reserved — offers little drama | Charcoal note flattens if the pack is left open
mevius-option-purple,Mevius Option Purple,メビウス,Mevius,Japan,Japan,Light,Capsule,King size,Charcoal,84,6,0.5,20,4.3,2011,"The capsule format done properly: crush it and you get grape, not detergent.","Most capsule cigarettes taste like a cleaning product. Option Purple does not — the burst is a soft, jammy grape that sits on top of the Mevius base rather than replacing it, and it fades gracefully over the second half of the stick.

It is a novelty, but it is a well-made one, and the underlying blend is the same reliable Mevius engineering.",Capsule flavour is restrained and convincing | Base blend remains legible after the crush | Same build quality as the Original,Flavour fades noticeably in the final third | Capsule occasionally fails to rupture cleanly
seven-stars,Seven Stars,セブンスター,Seven Stars,Japan,Japan,Full,Regular,King size,Charcoal,84,14,1.2,20,4.1,1969,"Japan's full-flavour standard — heavier than Mevius, and built with the same discipline.","Seven Stars is what Mevius would be without the restraint. Fourteen milligrams of tar arrive as a genuinely rich, cocoa-edged smoke that the charcoal filter keeps just short of harsh, and the ash column is the firmest in this catalogue.

If you have written off Japanese cigarettes as polite, this is the correction.",Rich cocoa note rare at this price | Firmest ash of any cigarette tested | Charcoal filter tames the tar load,Genuinely strong — not a starting point | Lingering room odour
peace-deluxe,Peace Deluxe,ピース,Peace,Japan,Japan,Full,Aromatic,Shorts,Unfiltered,70,28,2.3,10,3.6,1946,"A 1946 unfiltered short in a Raymond Loewy tin, and by some distance the heaviest thing here.","Peace Deluxe is a historical object that happens to still be in production. The vanilla-cased Virginia blend is genuinely aromatic — the tin smells like a pipe shop — and unfiltered at 28mg it hits accordingly.

We are scoring the craft, not recommending the dose. Two of these in a day is plenty for anyone.","Distinct vanilla casing, unlike anything else in production | Loewy tin remains a design landmark | Dense, genuinely old-fashioned smoke",28mg tar unfiltered — extreme by any measure | Loose tobacco in the mouth without a filter | Ten to a tin at a twenty-stick price
hope-regular,Hope Regular,ホープ,Hope,Japan,Japan,Full,Regular,Shorts,Filtered,70,14,1.1,10,2.4,1957,"A ten-stick short pack built for a quick, strong smoke and nothing else.","Hope has one idea: a short, dense, full-flavour cigarette you finish in four minutes. It executes that idea competently and offers nothing beyond it — the blend is flat, and the finish is abrupt.

We smoked this over a weekend rather than running the full protocol, so treat the score as provisional.","Ten-stick pack suits occasional smokers | Very fast, dense burn | Cheapest Japanese entry here","Flat, undeveloped blend | Abrupt finish | Short format burns hot in the last third"
esse-super-slims,Esse Super Slims,에쎄,Esse,South Korea,South Korea,Ultra light,Regular,Super slims,Filtered,100,3,0.3,20,3.6,1996,"The super-slim that made the format serious, and the only 3mg here that still tastes of something.","Esse is the reason super slims are a category rather than a novelty. At 3mg the smoke should be water, and it is not — there is a clean, faintly sweet Virginia note that holds all the way down the 100mm stick.

The narrow gauge burns fast, and you will smoke it in half the time you expect.","Real flavour at 3mg, which is rare | Excellent paper — no run-off at all | Elegant, genuinely well-designed pack",Burns roughly twice as fast as a king size | Too light for anyone coming off a full-flavour blend
